ID,target
000137c73,1969985.556797152
00021489f,1843483.9084355473
0004d7953,1367055.0079487313
00056a333,4824875.8300135825
00056d8eb,1884565.089284597
0005fc190,1728844.288336505
000787e86,2038173.3935341127
0008510a0,1994864.637665312
000895faf,1983806.9143253616
000986fba,2898053.146755065
0009efcc5,1407301.7131581597
000dd8f00,1884565.089284597
000e1cdc2,1452984.6672783915
00103739c,1866064.431972453
00134b367,1851402.2407082946
001788d0d,874104.2000049287
0019c8ad7,2937345.6234449423
001a267b9,1264367.0140603015
001a85486,1810620.863165645
001c4de06,1856540.1874652214
001f9014b,1884565.089284597
00216fb94,2036164.341532319
00235690e,1942228.0791196316
00240739d,1898187.290488014
0024c3747,1654421.8535612612
00297052d,2039564.2562566288
002ab8f85,1885073.7842155013
002bed5c0,1653554.4249596398
002bf3974,6007868.187562405
002d23a26,1934917.0460424405
002f27de9,2060848.4788721397
0030d8bb4,2007363.792452333
003146acd,1883232.967092362
003223263,1308189.0511928166
00335575e,2819765.53903317
00337cf9d,5429660.473705647
003394397,2010397.3814748558
0036358a3,1739155.8989365674
003770d30,1325021.9109387773
003bed5ea,1879356.7672150438
003ea6427,4020055.3619448543
003ef8132,1785870.4719866938
003fd1723,2211558.8684790954
0041861b4,1352169.3383519172
0042b718b,1712618.5191550949
004381d8f,3013492.082055533
0043ca764,1543119.3253082836
004486837,2349953.2786384076
0045c123e,2200961.907971234
0048915c6,2141570.132239045
004ab9a09,2388635.2968920143
004b2e1c9,2789513.6376632387
004c54732,1285708.0098501272
004cdefce,1768451.6303576764
004dd971b,4520702.687431851
004f9329b,1852714.0626109045
004fd2bca,1425784.9260355344
0054bfedb,1245528.836712179
0054ec58a,320390.9488498179
00551f45d,17438866.45297665
005777b4c,1296504.061485569
00578d6ea,2104109.0206655827
005802488,1609642.144292893
0059833b6,1088528.1771640328
005a70085,2080392.6557182472
005b148a0,1884565.089284597
005c28df4,1796845.8372795
005f8dc26,1833223.1547507078
00603c202,8145069.536677378
006049609,1835427.269567697
00612f47e,1884565.089284597
00647a57f,1913774.5384187542
0065853ee,1884565.089284597
006589d5e,1519250.1934814185
006598823,2631266.2085750243
0065c093c,2054165.0003826127
006738351,1528153.0345127168
006a0c6a8,1972938.41331182
006e9efe6,2000923.7762437153
006f029d3,1890829.0816975199
0070f35a2,2018035.4905236498
007135f85,1884565.089284597
007285433,3594195.841714819
00735e101,1564200.8246845943
0074ecf4e,1883442.6884589691
007635fa9,1731962.4615736853
007723613,1988086.9163051886
007867da9,1882857.93770153
0078bfbd6,1324989.7127984443
0078ce229,1884565.089284597
007a89d50,1819116.2880728238
007d43dfa,2138379.3687149836
007ee9e05,1891167.2772349704
007ffeae2,1813409.0130584303
00835c85c,2015477.3661411095
0084b08f1,1806628.7852597467
0087fb290,1887599.6367027618
0088a96bd,1946955.0328561892
008ac4292,2475103.074420248
008d8cca8,1955703.7418537624
008e07b8c,1785912.3096435214
008e5e25a,3519400.143503544
0094edcdb,3463388.2423373633
00950141c,1943534.5985623803
009566ef1,4246993.226884331
0095c81d4,1884565.089284597
0097a6ed4,1961649.5988988534
0098fef9a,1129271.417121727
009b321ec,5428618.657856299
009cd681e,1723873.3216353878
009f34f86,1873339.599671408
009f35cd3,1830446.0157330607
009f65109,4786379.1083342675
00a19014a,1866931.2659275208
00a27e76a,746526.1724582191
00a3b6ef7,2040637.4820636548
00a427603,1237368.667813324
00a6dc8be,1680524.3419684186
00a811734,5463629.262015897
00a8f58a7,1884565.089284597
00aaae151,1589064.237406622
00ab17f67,1830316.3097189192
00ac2d3a5,1877828.627384144
00adab1b6,2549397.7893371144
00aef0d56,1873373.1632036876
00b0b06c4,1490370.907360659
00b0e2303,1604344.4716113196
00b1fbbc9,1371307.6231607613
00b43e0c1,4280667.532172236
00b7190a8,1884565.089284597
00b722e1b,1589175.2492044785
00bba815f,2348204.8191766483
00bbb1c42,1862225.697209106
00bc2b665,1816651.0889328625
00bc35689,1810069.1971757184
00be23f52,4310805.244331443
00be24ac5,1413051.8802598997
00bfd0f70,1834538.0297394036
00c02f73e,2382183.7551090117
00c08e5b3,1929393.3942390669
00c8690ff,1783490.6640874066
00c8df4d5,2243138.5115368864
00c8e30de,1439436.1829165195
00ca3fb04,1987654.5397236873
00cabf621,1925669.3256094377
00cb48ae3,1807223.2493822468
00cb6b147,1955021.1375179763
00cc91a22,2607485.2169070365
00cd65e9d,2779188.580281859
00cd7d6a8,1288743.856019718
00cdc1483,1884565.089284597
00ce9bea5,1642225.9398236002
00cea0091,2863676.298121985
00cea68c6,1777426.7739574574
00d5a5975,1985949.4061868812
00d80a3a4,22157988.90439998
00d9f3864,1310401.212256581
00da4bd31,1880534.4335094914
00df4dd77,1830503.69493615
00e1a55bf,1884565.089284597
00e332971,1912047.352381662
00e5b6b1b,2661189.5519304634
00e85d5e3,1793611.4062301214
00e90abfa,2573998.238231742
00e9708b4,1961763.9674547035
00e9c680f,8270187.02471443
00eaa4394,2063168.586604047
00eae8832,3537393.0424942104
00ebefdc0,1931827.552427519
00ecbcb1b,1748410.4168653686
00ed49382,8407072.443568615
00ed87564,1881151.2506104063
00ef96cfd,108786.3357183232
00efe7ca3,1673444.2777559056
00f36aa18,1892182.942792184
00f3fb071,1952446.8548182945
00f43f548,2143551.7593089705
00f4d58ec,1884565.089284597
00f56e106,1803268.2120836228
00f84d8c2,1660272.465770361
00f92953b,1884565.089284597
00fa1d469,2816324.7997134067
00ff96f49,2947707.6170208002
0100ce0d8,4428696.52614238
0102ea9e1,1919977.6836273342
0104b3af3,1609200.5494775125
010672441,1884565.089284597
010771ca5,2034068.7332614078
0108aea9f,1884565.089284597
010a479e1,1922610.0630751774
010d0a2dd,6067004.229438276
010e3cea2,1881162.0740527294
010e5417b,2185917.3650059886
01108a561,401986.2111526605
0110cca98,994380.4579132907
011449698,1595883.4058168712
0114795f0,2480212.6159556517
011626c20,6859196.53008843
0117c8f27,1769385.1725122307
0117dcb47,5635003.5664617745
0118c34be,1881987.1661082457
0119efcb9,1373953.3373172046
011a58e13,1934593.6190970514
011b7902b,11033457.76436389
011ca122e,6435188.891456082
012053244,1732315.1149825254
0122a258e,1229052.1430672205
0122a4305,1807913.9856886913
01230d8ba,1884565.089284597
012414f4e,1187016.1708555906
012452125,2136059.7587227547
0124529b5,1235635.8220384312
012556288,3614118.637061718
01257c24c,1860270.3621219639
01258b972,1888338.2483505849
0125b64db,1892368.3486863598
01295ef92,1746309.113382326
012a2752f,1883523.134091305
012b6ba95,2166914.829301145
012b96b58,1716557.4472151448
012e881b9,1871138.1991995603
012f25e94,1727080.895216662
012fa70bb,1957601.6236907071
01304fc0a,2224032.5303488285
013230913,2095989.2734179567
01336ceb8,1910249.2402973487
